Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Sr. Quality Assurance Engineer w/Detox Testing Experience","Concentrix","Remote","Indeed","Software QA Automation Engineer","🌐 Remote","https://uk.indeed.com/rc/clk?jk=6c8cafd003b48099&bb=94HonpOGNJZX8LaOBjJUjUrRsKYJqxm88Sf6WqmhNP3boeWyyE-7qQhlPHAts0NHT4iKdvpv454d3dYtEDl82c-pwbHJNvWm39IGQlmwufpQ-qhaW8d3YjsfHgC1iYZa&xkcb=SoAE67M3knXO91zZhp0KbzkdCdPP&fccid=773041d0d31c442a&vjs=3",""
"QA Engineer (Remote)","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-engineer-remote-remotestar-JV_KO0,18_KE19,29.htm?jl=1009426005158",""
"QA Engineer for Mobile (Remote)","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-engineer-for-mobile-remote-veeva-systems-JV_KO0,29_KE30,43.htm?jl=1010083040565",""
"Software Test Engineer QA","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/software-test-engineer-qa-yo-it-consulting-JV_KO0,25_KE26,42.htm?jl=1010050986057",""
"Middle QA Automation Engineer","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/middle-qa-automation-engineer-mad-devs-JV_KO0,29_KE30,38.htm?jl=1009872368356",""
"Senior QA Engineer","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/senior-qa-engineer-veeva-systems-JV_KO0,18_KE19,32.htm?jl=1010102287966",""
"Test Engineer","Welsh Revenue Authority","Hybrid work in Cardiff","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 2h 39min ❌ | 🚌 ~3h 43min","https://uk.indeed.com/rc/clk?jk=c54a0948633ee886&bb=94HonpOGNJZX8LaOBjJUjRsvanakjql1gdn3aA5xk9TTjHCVGAB0nl6J5rotc4n763bwZ4qe0yciZLBVcoj9IIbH9AnggFV7GlLF-ZtySqbw8srpc7YoPWBAytfd06yj&xkcb=SoD167M3knXO91TZhp0LbzkdCdPP&fccid=973f61b8a4317555&vjs=3",""
"Software Development Engineer in Test","Driver and Vehicle Licensing Agency","Hybrid work in Swansea","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 2h 18min ❌ | 🚌 ~3h 13min","https://uk.indeed.com/rc/clk?jk=aa9b787e1141914b&bb=94HonpOGNJZX8LaOBjJUje8RTkczc5FXAWs2IIny5H8EToMkkUxBX1B1Cqknfd8AxGIcXIyYANrjKZXcwuDWhuVAS_lg7SW27oCTJjUbSlajCVgMSq3E1wwvngUrFGdk&xkcb=SoBB67M3knXO91TZhp0KbzkdCdPP&fccid=4fa1746a279c8218&vjs=3",""
"Senior Mobile QA","Waracle","Hybrid work in Glasgow","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 2h 38min ❌ | 🚌 ~3h 41min","https://uk.indeed.com/rc/clk?jk=dddb007c3204ecb5&bb=94HonpOGNJZX8LaOBjJUjf6OedfUW07-934hOLWvAuWHfQJgNyyel-iw7prfrG2GDvvyyAuIlacLHuJ-h5jTjV2chuWrDhBP2PQIGHna3439nXMKacb5dRro7kUpcu3Y&xkcb=SoDm67M3knXO91TZhp0PbzkdCdPP&fccid=bbd2032bce027b72&vjs=3",""
"QA Engineer (Manual & Automation)","Pinewood.AI","Hybrid work in Solihull","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 1h 59min | 🚌 ~2h 47min","https://uk.indeed.com/rc/clk?jk=1fd23f5e0f6c941a&bb=94HonpOGNJZX8LaOBjJUjQK9P2Jhx9nyNP7MIrGfMZgYDTcfyqKJ1CwrHk_E0d7m0DH6yMdnpxGxNMzWtzriD-8jJSDSGiEzCcd1n4r2ZJAqKD1FySF9FqlQgLUtTQEQ&xkcb=SoCZ67M3knXO91zZhp0JbzkdCdPP&fccid=caf727ee60579f19&vjs=3",""
"Test Automation Engineer","EPAM Systems, Inc.","Hybrid work in Belfast","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 2h 18min ❌ | 🚌 ~3h 13min","https://uk.indeed.com/rc/clk?jk=693acea027ccca82&bb=94HonpOGNJZX8LaOBjJUjat0TGv50pdBfv4yTc3KGAr4IfT8sIIcGLwGzBxEWTqalIRem6E__zvHneqLi-bZciaBPPpEq1IbPxREGQlRpuKw6eaJH0qMJ-RPBlqdr38d&xkcb=SoAt67M3knXO91zZhp0IbzkdCdPP&fccid=532afac41b2663f7&vjs=3",""
"QA Analyst","CMap","Hybrid work in Manchester M2","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 1h 26min | 🚌 ~2h 34min","https://uk.indeed.com/rc/clk?jk=b00d26b3f97f7eb5&bb=94HonpOGNJZX8LaOBjJUjXMk0T4WXnguIGLzIOIodIbiVukhuqBxoQ7ze-jVasDmTarssgnR9fH5OA3HkqVE9kJGtoXwk4LPnhOkLu2CQ1G97M8BU2SDlOxzE1xyAIKU&xkcb=SoCj67M3knXO91zZhp0PbzkdCdPP&fccid=6a700c1317f93629&vjs=3",""
"EA Software Test Engineer","General Dynamics Land Systems UK","Hybrid work in Blackwood NP12 4AD","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 2h 18min ❌ | 🚌 ~3h 13min","https://uk.indeed.com/rc/clk?jk=ba3ab6dd788c338a&bb=94HonpOGNJZX8LaOBjJUjdtEqN1LejywCWqgRIOK6i45D9ExB2K4EujXvqUQKrHc-7tbjnCF9jhE0ZyY8nvhR5AeqXMzdcqJtuE4WOwhBmHEijn5fh6yf_lRY_4wdFDp&xkcb=SoDX67M3knXO91zZhp0DbzkdCdPP&fccid=c2b597c70ecb0c6f&vjs=3",""
"EA Software Test Engineer","General Dynamics Land Systems UK","Hybrid work in Blackwood NP12 4AD","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 2h 18min ❌ | 🚌 ~3h 13min","https://uk.indeed.com/viewjob?jk=890abcdef0123456",""
"Software QA Engineer","","","Reed","Software QA Engineer","🏢 Office | 📍 Location not provided","https://www.reed.co.uk/jobs/software-qa-engineer/56812917?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
"Software/Firmware Test Engineer","","","Reed","Software QA Engineer","🏢 Office | 📍 Location not provided","https://www.reed.co.uk/jobs/software-firmware-test-engineer/56735761?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
"Automation Software Test Engineer","","","Reed","Software QA Engineer","🏢 Office | 📍 Location not provided","https://www.reed.co.uk/jobs/automation-software-test-engineer/56806646?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
"QA Engineer- Selenium Experience","","","Reed","Software QA Engineer","🏢 Office | 📍 Location not provided","https://www.reed.co.uk/jobs/qa-engineer-selenium-experience/56765039?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
"Senior Software Tester","","","Reed","Software QA Engineer","🏢 Office | 📍 Location not provided","https://www.reed.co.uk/jobs/senior-software-tester/56708334?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
